Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,3.195313,3.265625,3.195313,3.265625,0.071202,526400
1970-01-05,3.265625,3.304688,3.257813,3.281250,0.071542,1121600
1970-01-06,3.281250,3.296875,3.218750,3.234375,0.070520,553600
1970-01-07,3.234375,3.242188,3.195313,3.226563,0.070350,451200
1970-01-08,3.265625,3.312500,3.265625,3.289063,0.071713,635200
1970-01-09,3.289063,3.296875,3.273438,3.296875,0.071883,515200
1970-01-12,3.296875,3.320313,3.250000,3.273438,0.071372,334400
1970-01-13,3.273438,3.273438,3.218750,3.226563,0.070350,372800
1970-01-14,3.226563,3.226563,3.101563,3.125000,0.068136,1124800
1970-01-15,3.125000,3.140625,3.101563,3.117188,0.067965,336000
1970-01-16,3.117188,3.125000,3.085938,3.117188,0.067965,425600
1970-01-19,3.117188,3.117188,3.085938,3.109375,0.067795,508800
1970-01-20,3.109375,3.109375,3.070313,3.078125,0.067113,588800
1970-01-21,3.078125,3.085938,3.046875,3.054688,0.066602,454400
1970-01-22,3.054688,3.093750,3.031250,3.062500,0.066773,640000
1970-01-23,3.062500,3.062500,3.031250,3.046875,0.066432,427200
1970-01-26,3.046875,3.046875,2.976563,3.023438,0.065921,732800
1970-01-27,3.015625,3.015625,2.945313,3.015625,0.065751,540800
1970-01-28,3.015625,3.031250,2.914063,2.914063,0.063536,499200
1970-01-29,2.914063,2.937500,2.875000,2.906250,0.063366,696000
1970-01-30,2.906250,2.937500,2.859375,2.882813,0.062855,817600
1970-02-02,2.882813,2.906250,2.859375,2.875000,0.062685,937600
1970-02-03,2.875000,2.882813,2.843750,2.851563,0.062174,1971200
1970-02-04,2.851563,2.882813,2.851563,2.875000,0.063661,534400
1970-02-05,2.875000,2.875000,2.851563,2.875000,0.063661,337600
1970-02-06,2.875000,2.875000,2.851563,2.859375,0.063315,272000
1970-02-09,2.859375,2.875000,2.851563,2.851563,0.063142,558400
1970-02-10,2.851563,2.867188,2.703125,2.703125,0.059856,996800
1970-02-11,2.703125,2.765625,2.640625,2.765625,0.061239,878400
1970-02-12,2.765625,2.796875,2.671875,2.703125,0.059856,816000
1970-02-13,2.703125,2.757813,2.664063,2.718750,0.060202,492800
1970-02-16,2.718750,2.750000,2.695313,2.750000,0.060894,488000
1970-02-17,2.750000,2.757813,2.710938,2.734375,0.060547,451200
1970-02-18,2.750000,2.812500,2.750000,2.804688,0.062104,1028800
